Time,a_x fts^2,a_y fts^2,a_z fts^2,Roll rate degs,Pitch rate degs,Yaw rate degs,Roll deg,Pitch deg,Heading deg,Velocity kt,Angle of attack deg,Side-slip angle deg,Latitude,Longitude,Altitude
584.658,-1.450459289,0.3260074781,-32.38877137,0.116983278,0.09086932962,-0.08403107558,-0.7403663312,-3.526953818,44.04010558,122.3426253,-0.8830069879,-0.3746036241,63.92696945,-22.14696728,1403.677749
584.758,-1.468893944,0.3102355505,-32.36306397,0.1235209961,0.08563815091,-0.1089615997,-0.729202845,-3.519232436,44.031384,122.404891,-0.8863103878,-0.3657428035,63.92699925,-22.14686813,1402.912504
584.858,-1.478390476,0.2938288379,-32.36986749,0.1139635129,0.122031787,-0.1252946974,-0.7162280871,-3.508153827,44.01873296,122.4778622,-0.887656611,-0.3531388745,63.92703446,-22.14675094,1402.010136
584.967,-1.476617909,0.2790193845,-32.42465623,0.1004557387,0.1388760495,-0.1271429053,-0.7054491972,-3.494849982,44.00611655,122.5445548,-0.8867215534,-0.3408242302,63.92706698,-22.14664275,1401.17928
585.058,-1.481893454,0.2656707786,-32.38671071,0.08729726259,0.1322645244,-0.1182520753,-0.6960476158,-3.481300556,43.9938322,122.6100699,-0.8917840166,-0.3290065555,63.92709951,-22.14653453,1400.350957
585.158,-1.487938427,0.2546171656,-32.29757603,0.07861647856,0.1493546512,-0.1028906862,-0.6884351049,-3.468567672,43.98367468,122.6689755,-0.8998665737,-0.3194023257,63.92712933,-22.14643532,1399.593577
585.267,-1.488473311,0.2437918043,-32.29415633,0.06954117049,0.1718946689,-0.07775183702,-0.6803899046,-3.451112446,43.97383602,122.7379629,-0.9039979002,-0.3104568763,63.92716459,-22.14631806,1398.69993
585.367,-1.4913455,0.23718993,-32.31720813,0.0618400295,0.1840970101,-0.05064903036,-0.6738064009,-3.433204998,43.96738216,122.8009632,-0.9047573897,-0.3049760996,63.92719714,-22.1462098,1397.876239
585.467,-1.495279352,0.2340627371,-32.35468236,0.05510021197,0.1828684763,-0.02267722316,-0.6679531668,-3.414696499,43.96370151,122.863185,-0.9046012769,-0.3023135883,63.92722971,-22.14610152,1397.053954
585.567,-1.501812023,0.2342519372,-32.38601069,0.04974513985,0.1745553963,0.003556661541,-0.6627125165,-3.396709998,43.96275768,122.9245617,-0.9047888591,-0.3023373376,63.92726228,-22.14599324,1396.233452
585.667,-1.511304213,0.2373429673,-32.39576073,0.04581927452,0.1655075626,0.02610750954,-0.6579409551,-3.379615941,43.96428141,122.9850787,-0.9055212631,-0.3046986457,63.92729485,-22.14588493,1395.41505
585.758,-1.518644589,0.242602488,-32.41298499,0.04298118148,0.1544718731,0.04374775837,-0.6535090679,-3.363488819,43.96784283,123.044662,-0.906804549,-0.3089037072,63.92732744,-22.14577662,1394.598964
585.867,-1.529923394,0.2494602856,-32.41760962,0.04091425544,0.1474003619,0.05569424817,-0.649324763,-3.348456852,43.9729122,123.1033436,-0.9086057514,-0.3143743501,63.92736003,-22.1456683,1393.785356
585.967,-1.538801175,0.2570799298,-32.43034805,0.03918960358,0.1498672145,0.0619748899,-0.6453244735,-3.333554834,43.9789118,123.1611124,-0.9099301996,-0.3205153904,63.92739263,-22.14555996,1392.974291
586.083,-1.543554778,0.2630502015,-32.42736837,0.03783725754,0.1476698068,0.06333316481,-0.6424395558,-3.322291287,43.98369528,123.2037059,-0.9119329772,-0.3252147514,63.92741708,-22.1454787,1392.367727
586.158,-1.535957952,0.2717707415,-32.38538912,0.03680297467,0.1068896988,0.0608240437,-0.6380609883,-3.305617892,43.99110708,123.2682677,-0.9201731783,-0.3321227142,63.92745513,-22.14535228,1391.426762
586.258,-1.572815067,0.2786844778,-32.25276391,0.0366024865,0.1111647993,0.05323232209,-0.6344112853,-3.295882012,43.99697945,123.3229272,-0.9279864256,-0.3372603775,63.92748774,-22.14524391,1390.622316
586.358,-1.578928499,0.2834715947,-32.28057905,0.03506268639,0.1849112706,0.04343492006,-0.6308078349,-3.281285129,44.0019525,123.3768398,-0.9283857728,-0.3413519164,63.92752036,-22.14513553,1389.818826
586.458,-1.578095204,0.2871918855,-32.37232033,0.03059530432,0.2232039989,0.0340253874,-0.6274991726,-3.260556,44.00595795,123.4299267,-0.9235287287,-0.3443753415,63.92755298,-22.14502714,1389.016491
586.567,-1.57587353,0.29009829,-32.4912527,0.02423031303,0.2084341471,0.02424305182,-0.6245131004,-3.236655623,44.00926019,123.486279,-0.91904248,-0.3464825208,63.92758833,-22.14490971,1388.149796
586.658,-1.581403586,0.2916765756,-32.53102355,0.01930498142,0.180829289,0.01594618734,-0.622514392,-3.21865559,44.01122612,123.5331286,-0.9182798988,-0.3473321019,63.92761824,-22.14481033,1387.419358
586.767,-1.589033745,0.2922329674,-32.53504764,0.01452341831,0.1533679267,0.006626746755,-0.6206847402,-3.200494973,44.01258542,123.5876106,-0.9201180944,-0.3472898917,63.92765359,-22.14469287,1386.560033
586.867,-1.595422444,0.2915848417,-32.51388867,0.0108470053,0.1361030339,-0.0006864911193,-0.619417196,-3.185931972,44.01299724,123.6371727,-0.9229765885,-0.3463772922,63.92768622,-22.14458445,1385.770608
586.958,-1.597405874,0.2901867404,-32.50270947,0.007756616749,0.1181805079,-0.005751313752,-0.6185644478,-3.174137392,44.01280066,123.6819911,-0.9261826165,-0.3449709982,63.92771614,-22.14448505,1385.050057
587.058,-1.602442661,0.2881482658,-32.4631468,0.004929711621,0.1073595733,-0.009387941694,-0.6179352294,-3.162838875,44.01213868,123.7303238,-0.9303557329,-0.3430119416,63.92774878,-22.1443766,1384.267159
587.158,-1.606819478,0.2856237015,-32.42284785,0.002189130653,0.08315750984,-0.01086088796,-0.617559322,-3.152540659,44.01113732,123.7820148,-0.9356749169,-0.3406490821,63.92778414,-22.14425912,1383.422362
587.258,-1.614667983,0.2831779827,-32.38543859,0.0002385984261,0.09077250227,-0.01047886461,-0.6174419392,-3.143981534,44.01014999,123.8292775,-0.9395760237,-0.3384682447,63.92781678,-22.14415066,1382.64519
587.358,-1.61667037,0.2810602989,-32.3835295,-0.001757199866,0.1007552788,-0.008295278385,-0.6175117579,-3.135138073,44.00935732,123.8721885,-0.9413108622,-0.3366533975,63.92784671,-22.14405124,1381.9347
587.467,-1.618229628,0.2791292094,-32.3963338,-0.004259977162,0.09833888603,-0.003918959596,-0.6178408769,-3.124126918,44.00877032,123.9223444,-0.9425372486,-0.3349309645,63.92788207,-22.14393373,1381.09739
587.558,-1.620845629,0.2781165114,-32.39941758,-0.006039348254,0.08690512636,0.0005331256658,-0.6183200154,-3.115501744,44.00868391,123.9643074,-0.9440774273,-0.3339218702,63.927912,-22.1438343,1380.391001
587.658,-1.625552231,0.277637217,-32.38902514,-0.007315428882,0.07331950326,0.005466307377,-0.6190000091,-3.107400741,44.00906284,124.0096074,-0.9465608434,-0.3333145084,63.92794464,-22.14372583,1379.622618
587.758,-1.630359885,0.2777545076,-32.37015081,-0.007985425172,0.06091562977,0.01042580429,-0.61984388,-3.100007429,44.01001413,124.0581494,-0.9497707304,-0.333206716,63.92798001,-22.14360831,1378.792706
587.858,-1.636208518,0.2783824899,-32.34524573,-0.008124003906,0.0514203744,0.01432082861,-0.620664069,-3.094328251,44.01133963,124.102518,-0.9529736897,-0.3335496804,63.92801266,-22.14349983,1378.028756
587.967,-1.639218222,0.2794126579,-32.32651771,-0.007999141458,0.04139779288,0.01738499747,-0.6214843718,-3.089572772,44.0130176,124.1464155,-0.95624118,-0.3342294217,63.92804531,-22.14339134,1377.266621
588.067,-1.645118971,0.2807584959,-32.29758726,-0.0076349604,0.0338046149,0.01943367501,-0.6222818216,-3.08579095,44.01495693,124.1899125,-0.9598897786,-0.3351410554,63.92807796,-22.14328285,1376.506082
588.158,-1.649781115,0.282097543,-32.27030483,-0.007087104674,0.03284992672,0.02045037113,-0.6229693962,-3.082691648,44.01687591,124.2294065,-0.9631896641,-0.3360892037,63.92810789,-22.14318341,1375.810073
588.258,-1.65543191,0.2836962735,-32.24960719,-0.00660186161,0.03286002465,0.02078821376,-0.6237231077,-3.079057995,44.01922201,124.2757081,-0.9661527401,-0.3372612952,63.92814326,-22.14306587,1374.988637
588.358,-1.660085853,0.2851584334,-32.24103637,-0.006393634651,0.03189984343,0.02036407591,-0.6243842612,-3.075763852,44.02138478,124.3180455,-0.9683411874,-0.3383125911,63.92817591,-22.14295738,1374.231302
588.458,-1.663778904,0.2865151955,-32.23758626,-0.006355411827,0.02926751049,0.01936432885,-0.6250325853,-3.072601272,44.02347718,124.3600186,-0.9702543827,-0.3392674466,63.92820856,-22.14284889,1373.47476
588.567,-1.667541984,0.287745839,-32.23260173,-0.006403477128,0.02218408133,0.01790065481,-0.6256825459,-3.069951124,44.02544849,124.4016211,-0.9723398283,-0.340074442,63.92824121,-22.14274039,1372.718974
588.667,-1.673133433,0.2887342991,-32.22272763,-0.006393782117,0.0202077762,0.01604271801,-0.6263341225,-3.067815057,44.02725333,124.4429227,-0.9744674463,-0.3406938752,63.92827386,-22.14263189,1371.963872
